team_id,dimension,hybrid_score,telemetry_score,assessment_score,confidence,discrepancy_delta,scored_at
team_0,build_integration,50.3,41.2,86.8,low,45.6,2026-03-06 15:43:28
team_0,testing_quality,47.1,31.4,77.7,none,46.3,2026-02-20 15:43:28
team_0,deployment_release,81.8,88.6,25.6,low,63.0,2026-02-27 15:43:28
team_0,security_compliance,38.0,63.2,89.3,medium,26.1,2026-03-25 15:43:28
team_0,observability,71.2,39.1,89.1,high,50.0,2026-03-03 15:43:28
team_0,iac_configuration,39.2,69.3,26.7,low,42.6,2026-02-23 15:43:28
team_0,artifact_management,80.2,48.4,28.1,medium,20.3,2026-03-07 15:43:28
team_0,developer_experience,58.5,86.1,36.7,high,49.4,2026-02-15 15:43:28
team_0,pipeline_governance,24.9,65.3,79.2,none,13.9,2026-02-02 15:43:28
team_1,build_integration,27.8,55.3,74.2,none,18.9,2026-02-14 15:43:28
team_1,testing_quality,81.3,20.4,73.0,high,52.6,2026-02-26 15:43:28
team_1,deployment_release,73.8,17.8,30.1,medium,12.3,2026-02-05 15:43:28
team_1,security_compliance,38.9,20.3,82.5,low,62.2,2026-03-01 15:43:28
team_1,observability,49.1,62.3,55.3,high,7.0,2026-03-03 15:43:28
team_1,iac_configuration,70.5,55.1,69.9,high,14.8,2026-02-07 15:43:28
team_1,artifact_management,75.9,18.4,84.4,low,66.0,2026-01-27 15:43:28
team_1,developer_experience,57.7,36.7,73.0,high,36.3,2026-03-09 15:43:28
team_1,pipeline_governance,77.4,47.8,52.7,high,4.9,2026-02-25 15:43:28
team_2,build_integration,31.7,31.5,77.3,low,45.8,2026-02-15 15:43:28
team_2,testing_quality,30.8,65.8,89.0,low,23.2,2026-01-26 15:43:28
team_2,deployment_release,20.8,80.6,34.9,high,45.7,2026-03-27 15:43:28
team_2,security_compliance,63.0,44.6,63.3,high,18.7,2026-03-08 15:43:28
team_2,observability,35.8,70.6,75.8,medium,5.2,2026-03-01 15:43:28
team_2,iac_configuration,87.9,78.9,35.0,medium,43.9,2026-03-13 15:43:28
team_2,artifact_management,66.3,34.0,33.0,high,1.0,2026-02-01 15:43:28
team_2,developer_experience,76.3,89.3,63.4,high,25.9,2026-03-09 15:43:28
team_2,pipeline_governance,70.4,33.8,38.8,none,5.0,2026-01-26 15:43:28
team_3,build_integration,44.8,24.6,70.9,high,46.3,2026-03-09 15:43:28
team_3,testing_quality,66.5,82.5,47.2,none,35.3,2026-03-06 15:43:28
team_3,deployment_release,66.2,37.9,65.9,low,28.0,2026-02-04 15:43:28
team_3,security_compliance,43.7,47.1,25.3,medium,21.8,2026-02-05 15:43:28
team_3,observability,36.6,70.5,55.5,low,15.0,2026-03-19 15:43:28
team_3,iac_configuration,71.0,39.9,58.6,none,18.7,2026-03-05 15:43:28
team_3,artifact_management,78.1,51.5,32.6,high,18.9,2026-02-02 15:43:28
team_3,developer_experience,41.0,77.0,87.4,medium,10.4,2026-03-11 15:43:28
team_3,pipeline_governance,75.0,62.0,75.9,high,13.9,2026-02-01 15:43:28
team_0,build_integration,58.0,17.3,65.7,none,48.4,2026-02-06 15:43:28
team_0,testing_quality,64.3,83.0,63.6,none,19.4,2026-02-14 15:43:28
team_0,deployment_release,78.1,42.4,40.6,low,1.8,2026-03-19 15:43:28
team_0,security_compliance,54.9,53.3,52.8,high,0.5,2026-02-13 15:43:28
team_0,observability,37.9,87.3,93.7,medium,6.4,2026-02-07 15:43:28
team_0,iac_configuration,58.6,48.5,37.5,medium,11.0,2026-02-08 15:43:28
team_0,artifact_management,74.9,85.4,27.8,none,57.6,2026-03-13 15:43:28
team_0,developer_experience,24.7,42.7,28.0,medium,14.7,2026-02-22 15:43:28
team_0,pipeline_governance,88.1,42.1,57.9,none,15.8,2026-01-30 15:43:28
team_1,build_integration,23.5,88.5,47.7,low,40.8,2026-02-02 15:43:28
team_1,testing_quality,75.6,58.4,64.9,none,6.5,2026-02-14 15:43:28
team_1,deployment_release,48.4,59.1,87.9,high,28.8,2026-02-22 15:43:28
team_1,security_compliance,38.9,88.0,40.6,none,47.4,2026-03-05 15:43:28
team_1,observability,81.3,40.9,80.5,high,39.6,2026-02-23 15:43:28
team_1,iac_configuration,86.2,48.0,41.1,low,6.9,2026-03-14 15:43:28
team_1,artifact_management,31.3,26.8,67.1,high,40.3,2026-02-13 15:43:28
team_1,developer_experience,37.3,75.8,75.4,none,0.4,2026-02-12 15:43:28
team_1,pipeline_governance,55.9,30.8,36.3,none,5.5,2026-03-26 15:43:28
team_2,build_integration,38.3,24.6,66.5,medium,41.9,2026-02-15 15:43:28
team_2,testing_quality,58.4,81.8,35.3,medium,46.5,2026-03-11 15:43:28
team_2,deployment_release,89.2,53.7,53.4,high,0.3,2026-01-30 15:43:28
team_2,security_compliance,74.0,64.6,44.8,high,19.8,2026-03-14 15:43:28
team_2,observability,53.7,89.5,85.7,medium,3.8,2026-03-13 15:43:28
team_2,iac_configuration,82.3,60.1,80.6,medium,20.5,2026-02-16 15:43:28
team_2,artifact_management,69.5,34.8,75.7,low,40.9,2026-01-27 15:43:28
team_2,developer_experience,54.0,59.3,41.1,none,18.2,2026-03-19 15:43:28
team_2,pipeline_governance,28.1,30.2,85.2,none,55.0,2026-02-03 15:43:28
team_3,build_integration,31.2,22.2,58.3,high,36.1,2026-01-30 15:43:28
team_3,testing_quality,78.8,52.7,33.2,none,19.5,2026-02-13 15:43:28
team_3,deployment_release,29.8,60.3,82.9,none,22.6,2026-02-22 15:43:28
team_3,security_compliance,51.6,80.6,73.8,none,6.8,2026-03-13 15:43:28
team_3,observability,90.4,51.2,78.8,low,27.6,2026-02-18 15:43:28
team_3,iac_configuration,80.3,83.1,83.6,high,0.5,2026-02-28 15:43:28
team_3,artifact_management,30.0,50.8,41.3,high,9.5,2026-03-09 15:43:28
team_3,developer_experience,64.9,55.8,43.0,high,12.8,2026-02-10 15:43:28
team_3,pipeline_governance,75.8,15.5,61.6,high,46.1,2026-03-03 15:43:28
team_0,build_integration,69.1,66.6,47.1,low,19.5,2026-03-21 15:43:28
team_0,testing_quality,31.6,63.9,42.8,none,21.1,2026-02-19 15:43:28
team_0,deployment_release,47.4,35.7,72.6,medium,36.9,2026-03-01 15:43:28
team_0,security_compliance,61.4,56.8,37.5,none,19.3,2026-03-11 15:43:28
team_0,observability,94.1,58.3,79.2,none,20.9,2026-02-08 15:43:28
team_0,iac_configuration,30.4,79.8,33.3,medium,46.5,2026-02-27 15:43:28
team_0,artifact_management,78.7,86.2,32.0,none,54.2,2026-02-05 15:43:28
team_0,developer_experience,45.4,56.3,73.8,high,17.5,2026-03-17 15:43:28
team_0,pipeline_governance,49.2,62.7,81.3,medium,18.6,2026-02-25 15:43:28
team_1,build_integration,89.4,47.7,29.5,medium,18.2,2026-03-04 15:43:28
team_1,testing_quality,26.0,17.8,51.9,none,34.1,2026-02-16 15:43:28
team_1,deployment_release,69.2,36.5,92.4,high,55.9,2026-01-26 15:43:28
team_1,security_compliance,78.0,28.1,59.6,high,31.5,2026-03-15 15:43:28
team_1,observability,83.8,84.8,61.3,medium,23.5,2026-03-25 15:43:28
team_1,iac_configuration,78.8,53.3,73.9,medium,20.6,2026-02-12 15:43:28
team_1,artifact_management,22.7,32.9,25.0,medium,7.9,2026-03-22 15:43:28
team_1,developer_experience,94.8,73.5,49.7,none,23.8,2026-03-02 15:43:28
team_1,pipeline_governance,64.0,53.8,76.6,high,22.8,2026-01-28 15:43:28
team_2,build_integration,26.8,36.3,83.1,low,46.8,2026-03-05 15:43:28
team_2,testing_quality,92.2,35.7,67.4,medium,31.7,2026-02-26 15:43:28
team_2,deployment_release,89.7,58.1,43.3,none,14.8,2026-02-23 15:43:28
team_2,security_compliance,28.0,20.4,45.6,high,25.2,2026-02-04 15:43:28
team_2,observability,58.5,34.3,62.7,low,28.4,2026-02-11 15:43:28
team_2,iac_configuration,53.2,43.3,58.9,medium,15.6,2026-02-07 15:43:28
team_2,artifact_management,45.5,73.2,72.7,high,0.5,2026-02-25 15:43:28
team_2,developer_experience,28.7,20.1,69.4,medium,49.3,2026-02-12 15:43:28
team_2,pipeline_governance,72.6,75.0,53.9,low,21.1,2026-02-22 15:43:28
team_3,build_integration,60.2,67.6,43.4,low,24.2,2026-03-22 15:43:28
team_3,testing_quality,49.9,71.2,48.9,medium,22.3,2026-02-25 15:43:28
team_3,deployment_release,43.5,31.4,65.2,medium,33.8,2026-01-26 15:43:28
team_3,security_compliance,76.0,84.8,38.3,medium,46.5,2026-03-12 15:43:28
team_3,observability,75.2,80.5,39.5,medium,41.0,2026-02-02 15:43:28
team_3,iac_configuration,38.7,61.4,35.9,high,25.5,2026-03-20 15:43:28
team_3,artifact_management,89.0,65.7,71.4,high,5.7,2026-02-07 15:43:28
team_3,developer_experience,84.3,86.8,84.4,low,2.4,2026-02-16 15:43:28
team_3,pipeline_governance,43.7,82.4,86.7,low,4.3,2026-02-24 15:43:28
team_0,build_integration,33.7,72.3,60.8,none,11.5,2026-03-13 15:43:28
team_0,testing_quality,76.3,24.6,61.8,none,37.2,2026-02-25 15:43:28
team_0,deployment_release,90.5,17.4,49.3,medium,31.9,2026-02-26 15:43:28
team_0,security_compliance,93.2,67.4,57.2,high,10.2,2026-03-27 15:43:28
team_0,observability,70.6,43.5,32.1,low,11.4,2026-02-16 15:43:28
team_0,iac_configuration,84.6,29.0,43.4,low,14.4,2026-02-25 15:43:28
team_0,artifact_management,91.9,40.7,37.9,none,2.8,2026-03-14 15:43:28
team_0,developer_experience,51.4,71.4,50.6,none,20.8,2026-03-10 15:43:28
team_0,pipeline_governance,53.8,57.9,93.5,medium,35.6,2026-02-03 15:43:28
team_1,build_integration,27.5,35.2,41.5,none,6.3,2026-02-01 15:43:28
team_1,testing_quality,48.6,25.9,92.1,medium,66.2,2026-02-25 15:43:28
team_1,deployment_release,80.4,28.2,60.0,low,31.8,2026-02-05 15:43:28
team_1,security_compliance,56.5,33.8,85.1,high,51.3,2026-03-02 15:43:28
team_1,observability,27.4,27.3,40.1,low,12.8,2026-02-25 15:43:28
team_1,iac_configuration,82.9,22.2,77.1,low,54.9,2026-03-04 15:43:28
team_1,artifact_management,47.0,56.8,81.7,low,24.9,2026-03-26 15:43:28
team_1,developer_experience,50.9,41.3,72.6,medium,31.3,2026-02-19 15:43:28
team_1,pipeline_governance,63.2,63.7,37.2,low,26.5,2026-03-05 15:43:28
team_2,build_integration,44.4,53.3,79.2,none,25.9,2026-01-30 15:43:28
team_2,testing_quality,25.9,61.0,57.5,medium,3.5,2026-01-31 15:43:28
team_2,deployment_release,32.6,75.6,48.6,none,27.0,2026-02-01 15:43:28
team_2,security_compliance,88.0,20.9,49.1,low,28.2,2026-03-07 15:43:28
team_2,observability,69.0,68.3,67.4,none,0.9,2026-03-10 15:43:28
team_2,iac_configuration,86.6,73.6,90.7,none,17.1,2026-03-01 15:43:28
team_2,artifact_management,32.5,79.1,33.8,medium,45.3,2026-02-13 15:43:28
team_2,developer_experience,38.9,70.8,77.5,medium,6.7,2026-03-17 15:43:28
team_2,pipeline_governance,49.8,22.2,90.6,none,68.4,2026-02-20 15:43:28
team_3,build_integration,24.0,72.8,61.7,high,11.1,2026-03-21 15:43:28
team_3,testing_quality,39.7,26.6,70.8,none,44.2,2026-03-08 15:43:28
team_3,deployment_release,37.2,70.3,56.0,medium,14.3,2026-03-19 15:43:28
team_3,security_compliance,59.5,27.8,27.5,low,0.3,2026-01-31 15:43:28
team_3,observability,88.6,79.8,57.7,low,22.1,2026-02-20 15:43:28
team_3,iac_configuration,53.4,87.7,73.8,medium,13.9,2026-02-18 15:43:28
team_3,artifact_management,64.8,62.3,69.5,none,7.2,2026-02-22 15:43:28
team_3,developer_experience,68.0,55.0,88.6,none,33.6,2026-02-21 15:43:28
team_3,pipeline_governance,37.0,21.7,46.6,none,24.9,2026-03-11 15:43:28
team_0,build_integration,31.7,15.8,61.6,medium,45.8,2026-03-05 15:43:28
team_0,testing_quality,41.5,55.1,73.1,none,18.0,2026-01-26 15:43:28
team_0,deployment_release,76.7,37.5,78.6,low,41.1,2026-02-17 15:43:28
team_0,security_compliance,37.3,15.5,51.2,none,35.7,2026-01-30 15:43:28
team_0,observability,62.0,44.6,36.4,none,8.2,2026-02-02 15:43:28
team_0,iac_configuration,48.4,34.7,54.6,medium,19.9,2026-02-22 15:43:28
team_0,artifact_management,77.3,83.2,81.5,low,1.7,2026-03-09 15:43:28
team_0,developer_experience,68.6,54.9,43.8,medium,11.1,2026-02-01 15:43:28
team_0,pipeline_governance,25.1,25.2,32.7,none,7.5,2026-02-16 15:43:28
team_1,build_integration,54.0,67.5,59.4,low,8.1,2026-03-26 15:43:28
team_1,testing_quality,31.4,87.7,26.5,high,61.2,2026-03-09 15:43:28
team_1,deployment_release,40.2,68.6,75.9,medium,7.3,2026-03-22 15:43:28
team_1,security_compliance,31.3,52.0,48.9,low,3.1,2026-02-05 15:43:28
team_1,observability,80.0,89.8,57.5,high,32.3,2026-03-06 15:43:28
team_1,iac_configuration,26.0,71.3,35.2,low,36.1,2026-02-06 15:43:28
team_1,artifact_management,49.4,55.7,37.7,low,18.0,2026-02-03 15:43:28
team_1,developer_experience,48.6,15.9,93.2,medium,77.3,2026-03-03 15:43:28
team_1,pipeline_governance,77.8,48.2,76.6,high,28.4,2026-03-15 15:43:28
team_2,build_integration,54.6,72.8,61.5,medium,11.3,2026-02-25 15:43:28
team_2,testing_quality,49.2,87.1,90.5,medium,3.4,2026-02-15 15:43:28
team_2,deployment_release,74.6,70.9,63.5,high,7.4,2026-03-11 15:43:28
team_2,security_compliance,56.1,37.4,50.2,high,12.8,2026-01-31 15:43:28
team_2,observability,70.0,88.0,41.5,none,46.5,2026-03-07 15:43:28
team_2,iac_configuration,21.1,74.6,65.9,none,8.7,2026-02-05 15:43:28
team_2,artifact_management,38.2,87.7,65.7,none,22.0,2026-02-11 15:43:28
team_2,developer_experience,64.7,42.9,31.3,medium,11.6,2026-02-24 15:43:28
team_2,pipeline_governance,26.9,61.4,90.2,high,28.8,2026-03-24 15:43:28
team_3,build_integration,46.7,26.5,62.5,high,36.0,2026-03-19 15:43:28
team_3,testing_quality,56.6,38.8,64.1,low,25.3,2026-02-04 15:43:28
team_3,deployment_release,86.9,70.0,26.5,none,43.5,2026-03-05 15:43:28
team_3,security_compliance,74.3,33.8,27.8,none,6.0,2026-02-20 15:43:28
team_3,observability,42.1,67.3,38.3,medium,29.0,2026-02-21 15:43:28
team_3,iac_configuration,46.1,69.9,44.3,medium,25.6,2026-03-23 15:43:28
team_3,artifact_management,59.8,48.7,82.4,low,33.7,2026-02-26 15:43:28
team_3,developer_experience,20.1,62.9,51.5,medium,11.4,2026-01-30 15:43:28
team_3,pipeline_governance,21.4,79.3,79.3,medium,0.0,2026-03-07 15:43:28
team_0,build_integration,74.1,64.4,62.7,none,1.7,2026-03-15 15:43:28
team_0,testing_quality,59.3,52.3,63.6,low,11.3,2026-03-07 15:43:28
team_0,deployment_release,50.7,39.2,31.7,high,7.5,2026-03-25 15:43:28
team_0,security_compliance,82.6,24.7,86.1,medium,61.4,2026-03-21 15:43:28
team_0,observability,56.4,22.4,65.0,none,42.6,2026-02-13 15:43:28
team_0,iac_configuration,56.7,61.8,66.3,high,4.5,2026-03-04 15:43:28
team_0,artifact_management,36.6,68.8,25.9,medium,42.9,2026-02-14 15:43:28
team_0,developer_experience,56.9,81.7,30.6,high,51.1,2026-03-04 15:43:28
team_0,pipeline_governance,61.9,85.4,54.1,low,31.3,2026-02-05 15:43:28
team_1,build_integration,73.1,76.8,43.6,high,33.2,2026-02-09 15:43:28
team_1,testing_quality,25.3,37.8,91.1,high,53.3,2026-03-21 15:43:28
team_1,deployment_release,74.4,54.9,38.3,medium,16.6,2026-02-19 15:43:28
team_1,security_compliance,66.9,28.4,77.4,none,49.0,2026-02-08 15:43:28
team_1,observability,27.9,62.9,50.1,none,12.8,2026-02-11 15:43:28
team_1,iac_configuration,69.9,81.2,36.7,medium,44.5,2026-02-20 15:43:28
team_1,artifact_management,50.1,40.3,36.1,none,4.2,2026-01-27 15:43:28
team_1,developer_experience,46.4,38.6,94.4,low,55.8,2026-02-01 15:43:28
team_1,pipeline_governance,47.9,72.3,55.1,low,17.2,2026-02-17 15:43:28
team_2,build_integration,38.1,55.9,51.3,low,4.6,2026-03-04 15:43:28
team_2,testing_quality,92.1,48.6,52.8,high,4.2,2026-03-09 15:43:28
team_2,deployment_release,64.7,53.8,94.5,low,40.7,2026-03-27 15:43:28
team_2,security_compliance,42.5,31.6,84.9,high,53.3,2026-02-06 15:43:28
team_2,observability,81.6,66.7,44.3,medium,22.4,2026-03-21 15:43:28
team_2,iac_configuration,22.8,41.7,34.7,low,7.0,2026-01-30 15:43:28
team_2,artifact_management,63.7,32.5,81.8,high,49.3,2026-02-19 15:43:28
team_2,developer_experience,50.0,83.8,76.4,low,7.4,2026-02-05 15:43:28
team_2,pipeline_governance,56.2,51.6,87.9,high,36.3,2026-02-17 15:43:28
team_3,build_integration,68.2,17.8,81.6,none,63.8,2026-03-22 15:43:28
team_3,testing_quality,78.5,84.1,48.4,none,35.7,2026-03-01 15:43:28
team_3,deployment_release,89.8,24.0,78.9,high,54.9,2026-02-15 15:43:28
team_3,security_compliance,78.3,43.7,46.3,high,2.6,2026-03-07 15:43:28
team_3,observability,60.5,26.2,60.2,medium,34.0,2026-03-18 15:43:28
team_3,iac_configuration,23.8,69.9,52.5,none,17.4,2026-02-07 15:43:28
team_3,artifact_management,64.6,52.9,40.5,low,12.4,2026-02-05 15:43:28
team_3,developer_experience,49.6,24.9,30.8,high,5.9,2026-02-20 15:43:28
team_3,pipeline_governance,49.9,21.4,60.1,medium,38.7,2026-02-07 15:43:28
team_0,build_integration,30.1,56.9,59.2,medium,2.3,2026-02-20 15:43:28
team_0,testing_quality,66.2,70.2,42.2,high,28.0,2026-03-10 15:43:28
team_0,deployment_release,78.3,39.3,89.7,high,50.4,2026-03-20 15:43:28
team_0,security_compliance,70.4,46.8,49.4,low,2.6,2026-03-05 15:43:28
team_0,observability,64.5,16.8,46.3,low,29.5,2026-02-16 15:43:28
team_0,iac_configuration,81.6,75.2,68.6,none,6.6,2026-03-25 15:43:28
team_0,artifact_management,89.3,32.5,73.0,medium,40.5,2026-02-07 15:43:28
team_0,developer_experience,74.6,21.4,76.8,medium,55.4,2026-01-26 15:43:28
team_0,pipeline_governance,66.6,26.1,83.3,low,57.2,2026-03-27 15:43:28
